Midterm,Homework,Quiz,Course Grade
37,23,41,40
38,100,54,49
40,16,24,23
44,93,46,53
48,96,39,48
50,30,29,33
51,52,50,51
52,90,49,60
56,25,24,31
56,35,60,54
56,94,57,63
57,76,59,62
57,91,71,66
57,97,53,63
58,28,46,60
58,73,61,65
58,85,82,76
58,87,60,70
58,96,60,64
59,66,51,53
59,87,82,77
59,88,70,73
59,89,77,77
59,93,77,74
60,27,61,60
60,57,72,72
60,66,90,68
60,73,81,78
61,56,36,53
61,69,58,65
61,78,74,72
61,91,70,73
62,74,58,64
62,91,62,66
63,82,70,69
63,82,72,75
63,86,70,69
63,90,53,58
63,91,62,67
63,92,54,62
63,94,66,70
63,98,74,76
64,27,19,25
64,53,74,73
64,92,73,72
64,99,56,63
64,100,76,79
65,46,58,55
65,53,52,58
65,54,56,61
65,88,77,74
65,94,77,76
65,99,83,77
66,43,70,72
66,81,45,63
66,83,76,78
66,92,74,75
66,95,64,71
67,64,63,65
67,65,72,74
67,76,86,80
67,83,81,70
67,84,71,73
67,86,75,75
67,87,81,76
67,87,96,83
67,96,71,72
67,99,64,66
68,65,68,69
68,83,80,77
68,86,83,79
68,88,80,78
68,97,64,73
68,99,72,74
68,99,74,76
69,43,58,67
69,48,70,67
69,56,78,71
69,64,70,70
69,73,48,62
69,73,73,73
69,86,84,77
69,95,73,78
69,100,49,63
70,69,61,73
70,84,82,77
70,85,71,79
70,87,78,77
70,94,78,81
70,98,78,76
71,42,50,67
71,80,66,71
71,85,63,76
71,95,74,76
72,46,63,62
72,71,72,65
72,77,74,73
72,82,56,71
72,87,81,75
72,90,96,84
72,95,73,73
72,98,72,78
72,100,76,80
73,30,63,66
73,36,70,64
73,39,32,45
73,69,56,73
73,70,69,73
73,75,90,78
73,79,83,77
73,82,74,76
73,85,84,79
73,86,83,76
73,87,71,72
73,88,73,71
73,96,96,88
73,98,81,83
74,45,61,69
74,47,50,61
74,53,59,59
74,76,80,77
74,77,96,87
74,78,75,71
74,79,68,71
74,79,86,87
74,84,76,77
74,91,80,81
74,91,91,84
74,94,71,77
74,95,89,84
74,98,80,86
74,100,86,86
74,100,96,86
75,53,36,48
75,65,86,83
75,82,74,72
75,85,73,79
75,85,75,75
75,89,84,78
75,90,81,74
75,96,64,77
75,96,72,80
75,96,74,83
75,100,66,79
75,100,77,79
76,49,65,75
76,60,69,70
76,64,71,72
76,79,84,78
76,80,72,79
76,85,41,56
76,88,84,84
76,90,90,82
76,91,60,74
76,92,91,78
76,100,81,77
77,61,64,78
77,74,80,74
77,75,83,80
77,79,83,77
77,80,60,74
77,88,84,76
77,91,89,83
77,94,69,81
78,23,67,74
78,40,43,71
78,64,80,79
78,67,50,62
78,71,89,77
78,86,86,80
78,88,86,78
78,90,74,80
78,94,92,85
78,96,79,85
78,100,75,78
79,15,63,71
79,26,58,63
79,61,66,75
79,64,60,61
79,83,75,80
79,87,87,80
79,87,96,83
79,90,79,86
79,92,64,76
79,92,73,85
79,96,76,79
79,98,86,88
79,99,78,76
79,100,91,84
80,38,88,81
80,61,65,72
80,67,80,78
80,71,83,74
80,79,77,83
80,85,83,87
80,100,90,83
81,27,70,66
81,84,78,80
81,91,99,85
81,97,89,89
82,9,44,68
82,57,99,84
82,83,90,86
82,84,71,84
82,84,80,86
82,88,80,85
82,91,84,89
82,94,84,84
82,94,99,84
82,96,96,92
82,97,94,87
82,100,79,85
83,23,79,77
83,38,69,76
83,46,94,82
83,57,79,80
83,66,89,89
83,91,89,82
83,92,100,87
83,93,87,87
83,93,91,87
83,96,81,86
83,98,74,85
84,52,78,77
84,64,86,80
84,66,94,90
84,82,76,80
84,86,68,74
84,91,74,79
84,91,86,80
84,93,90,86
84,94,83,82
84,96,86,87
84,96,87,90
84,98,92,91
84,99,96,88
84,100,90,84
84,100,96,89
85,43,86,83
85,70,86,82
85,75,49,75
85,80,65,79
85,82,88,85
85,83,88,84
85,84,65,80
85,90,81,84
85,93,81,82
85,94,74,84
85,99,100,93
85,100,78,89
86,33,70,69
86,81,80,82
86,81,83,88
86,85,68,72
86,86,89,79
86,91,88,94
86,91,94,92
86,92,91,91
86,93,80,85
86,96,83,81
86,96,98,91
87,23,78,73
87,45,87,81
87,61,76,79
87,81,88,89
87,84,97,92
87,90,64,82
87,91,82,85
87,91,99,88
87,97,74,84
87,99,82,88
87,99,90,81
87,100,86,93
87,100,97,97
88,75,95,88
88,78,97,87
88,80,95,86
88,81,60,74
88,86,78,76
88,88,77,86
88,88,91,88
88,88,95,92
88,90,89,84
88,96,87,88
88,98,96,95
88,99,96,87
88,100,90,88
88,100,91,90
88,100,99,93
89,8,91,83
89,37,44,68
89,51,84,85
89,81,93,87
89,83,92,96
89,91,85,90
89,98,77,83
89,98,88,86
89,98,100,93
89,99,100,97
89,100,91,92
89,100,100,91
90,9,52,67
90,68,100,93
90,79,100,95
90,80,96,85
90,87,89,91
90,89,81,84
90,91,83,89
90,93,81,85
90,94,74,86
90,95,95,97
90,97,76,81
90,97,96,94
90,98,88,90
90,98,91,82
90,99,84,83
90,99,89,91
90,99,90,91
90,100,87,88
90,100,99,90
91,63,100,87
91,72,97,87
91,76,90,88
91,79,91,85
91,89,93,91
91,94,90,92
91,95,90,89
91,97,96,94
91,99,89,93
91,100,98,91
91,100,100,97
92,37,74,72
92,78,80,80
92,81,94,87
92,84,85,92
92,88,90,91
92,98,89,85
92,100,99,97
92,100,100,100
93,8,94,85
93,38,99,88
93,94,74,85
93,95,96,91
93,97,80,83
93,97,91,92
93,97,95,97
93,99,84,93
93,99,93,96
93,99,94,95
93,100,100,94
94,59,87,86
94,88,95,96
94,89,92,93
94,95,98,94
94,98,84,90
94,99,100,92
94,100,92,87
94,100,94,93
95,51,88,90
95,78,94,89
95,84,96,91
95,85,82,87
95,94,90,92
95,98,82,92
95,98,90,92
95,100,89,95
95,100,91,95
95,100,100,99
96,82,89,89
96,89,89,93
96,94,95,93
96,94,100,100
96,98,98,97
96,100,95,94
96,100,100,95
97,57,100,95
97,96,100,96
97,100,92,95
97,100,97,95
97,100,98,97
97,100,99,97
97,100,100,100
98,36,91,88
98,74,77,81
98,86,89,92
98,89,87,93
98,96,100,98
98,97,100,99
98,99,100,99
99,71,100,96
99,87,92,94
99,95,98,96
99,98,100,96
99,100,94,96
99,100,100,100
100,70,84,85
100,81,94,96
100,96,100,93
100,99,93,99
100,100,100,100
