NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
ALPHABET CITY            ,03  THREE FAMILY HOMES                      ,1,377,66,C0, 243 EAST 7TH   STREET                     ,            ,10009,3,0,3,2381,3084,1899,1, C0 ,3150000.0,3/6/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,375,62,C4, 715 EAST 5TH   STREET                     ,            ,10009,20,0,20,2426,9345,1900,2, C4 ,3650000.0,9/6/2012
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,376,30,C4, 274 EAST SEVENTH STREET                   ,            ,10009,13,0,13,2726,13002,1910,2, C4 ,895250.0,10/25/2012
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,385,1,C7, 17 AVENUE B                               ,            ,10009,7,1,8,2093,5852,1997,2, C7 ,283.0,4/18/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,391,55,C4, 309 EAST 8TH   STREET                     ,            ,10009,17,0,17,2164,9071,1900,2, C4 ,3500000.0,10/16/2012
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,397,33,C7, 14 AVENUE B                               ,            ,10009,25,2,27,3574,18212,1925,2, C7 ,13185684.0,1/31/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,398,53,C7, 170 EAST 2ND STREET                       ,            ,10009,36,3,39,4452,17664,1900,2, C7 ,3810602.0,10/26/2012
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,56,C4, 203 EAST 4TH STREET                       ,            ,10009,10,1,10,2404,6975,1900,2, C4 ,7333333.0,4/9/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,57,C4, 201 EAST 4TH STREET                       ,            ,10009,9,1,9,2404,6875,1900,2, C4 ,7333333.0,4/9/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,400,58,C4, 199 EAST 4TH STREET                       ,            ,10009,9,1,10,2404,7110,1900,2, C4 ,7333333.0,4/9/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,60,C4, 195 EAST FOURTH STREET                    ,            ,10009,18,2,18,2404,8975,1913,2, C4 ,7000000.0,4/9/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,4,C7, 500 EAST 11 STREET                        ,            ,10009,25,2,27,3020,15162,1920,2, C7 ,12603963.0,1/31/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,43,C4, 325 EAST 10TH   STREET                    ,            ,10009,18,0,18,2370,11000,1900,2, C4 ,8500000.0,3/14/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,10,C7, 504 EAST 12TH   STREET                    ,            ,10009,28,2,30,3872,15428,1930,2, C7 ,8892981.0,1/31/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,405,12,C7, 508 EAST 12TH   STREET                    ,            ,10009,28,2,30,3872,15428,1930,2, C7 ,9528194.0,1/31/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,406,14,C1, 516 EAST 13TH   STREET                    ,            ,10009,10,0,10,2581,10010,1910,2, C1 ,4653771.0,1/31/2013
ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,406,15,C1, 518 EAST 13TH   STREET                    ,            ,10009,10,0,10,2581,10010,1910,2, C1 ,4653771.0,1/31/2013
ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,404,48,D1, 315 EAST 10TH   STREET                    ,            ,10009,12,1,12,2369,9348,1920,2, D1 ,9600000.0,5/7/2013
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133,S3, 650 EAST 6TH   STREET                     ,            ,10009,3,1,4,1940,4140,1920,2, S3 ,2800000.0,7/19/2013
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,391,33,S4, 137 AVENUE C                              ,            ,10009,4,1,5,1500,3540,1900,2, S4 ,2450000.0,2/22/2013
ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,393,4,S4, 165 AVENUE B                              ,            ,10009,4,1,5,2201,5608,1900,2, S4 ,3800000.0,12/4/2012
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,378,32,K1, 127 AVENUE D                              ,            ,10009,0,1,1,2186,2186,1910,4, K1 ,1800000.0,12/28/2012
ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,402,3,K2, 98 AVENUE A                               ,            ,10009,0,1,1,8100,16200,1925,4, K2 ,15500000.0,5/1/2013
ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,377,49,G7, EAST 7TH   STREET                         ,            ,10009,0,0,0,2169,0,0,4, G7 ,1957475.0,1/30/2013
ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,384,33,G4, 11 AVENUE C                               ,            ,10009,0,1,1,5893,1419,1961,4, G4 ,7000000.0,9/6/2012
ALPHABET CITY            ,31  COMMERCIAL VACANT LAND                  ,4,406,23,V1, 536 EAST 13TH   STREET                    ,            ,10009,0,0,0,2581,0,0,4, V1 ,3275000.0,4/22/2013
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,387,34,M1, 67 AVENUE C                               ,            ,10009,0,1,1,2160,3050,1951,4, M1 ,2400000.0,7/18/2013
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,            ,10009,2,1,3,2139,6440,1900,4, M1 ,4650000.0,12/20/2012
ALPHABET CITY            ,37  RELIGIOUS FACILITIES                    ,4,392,4,M1, 149 AVENUE B                              ,            ,10009,2,1,3,2139,6440,1900,4, M1 ,3200000.0,9/27/2012
CHELSEA                  ,01  ONE FAMILY HOMES                        ,1,738,61,A4, 338 WEST 15 STREET                        ,            ,10011,1,0,1,1528,2736,1900,1, A4 ,5400000.0,7/25/2013
CHELSEA                  ,01  ONE FAMILY HOMES                        ,1,743,27,A9, 323 WEST 19TH   STREET                    ,            ,10011,1,0,1,1894,3564,1901,1, A9 ,7180000.0,4/16/2013
CHELSEA                  ,01  ONE FAMILY HOMES                        ,1,770,21,A9, 233 WEST 20TH                             ,            ,10011,1,0,1,1064,1260,1901,1, A9 ,7935000.0,6/27/2013
CHELSEA                  ,01  ONE FAMILY HOMES                        ,1,774,81,A4, 280 WEST 25TH   STREET                    ,            ,10001,1,0,1,937,3307,1900,1, A4 ,4000000.0,5/30/2013
CHELSEA                  ,01  ONE FAMILY HOMES                        ,1,790,64,A0, 150 WEST 15TH   STREET                    ,            ,10011,1,0,1,2000,10597,1920,1, A0 ,15500000.0,4/26/2013
CHELSEA                  ,02  TWO FAMILY HOMES                        ,1,743,17,B3, 343 WEST 19TH STREET                      ,            ,10011,2,0,2,1397,4224,1900,1, B3 ,6990000.0,4/25/2013
CHELSEA                  ,03  THREE FAMILY HOMES                      ,1,717,64,C0, 440 WEST 20TH STREET                      ,            ,10011,3,0,3,1533,2880,1901,1, C0 ,4250000.0,6/7/2013
CHELSEA                  ,03  THREE FAMILY HOMES                      ,1,745,8,C0, 353 WEST 21ST   STREET                    ,            ,10011,3,0,3,2074,3486,1910,1, C0 ,5867000.0,4/4/2013
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2A,717,52,C2, 416 WEST 20TH   STREET                    ,            ,10011,5,0,5,2248,4730,1910,2, C2 ,5750000.0,12/20/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,719,45,C5, 402 WEST 22ND   STREET                    ,            ,10011,7,1,8,1026,4788,1900,2, C5 ,3530000.0,11/15/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2A,719,75,C3, 460 WEST 22ND   STREET                    ,            ,10011,4,0,4,1580,3376,1900,2, C3 ,4600000.0,8/23/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2A,720,5,C3, 485 WEST 22ND STREET                      ,            ,10011,4,0,4,1547,4150,1900,2, C3 ,4650000.0,12/28/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2A,722,11,C2, 449 WEST 24TH   STREET                    ,            ,10011,5,0,5,2057,4072,1900,2, C2 ,3900000.0,12/4/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2A,738,63,C2, 342 WEST 15TH STREET                      ,            ,10011,6,0,6,1528,3950,1900,2, C2 ,6534977.0,3/27/2013
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,740,52,C4, 338 WEST 17TH STREET                      ,            ,10011,17,0,17,2300,8525,1900,2, C4 ,6000000.0,11/27/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,741,61,C1, 352 WEST 18TH   STREET                    ,            ,10011,16,0,16,2300,8825,1910,2, C1 ,9000000.0,8/9/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,743,15,C1, 347 WEST 19TH   STREET                    ,            ,10011,8,0,8,1397,2430,1920,2, C1 ,1600000.0,12/19/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2B,743,16,C1, 345 WEST 19TH   STREET                    ,            ,10011,8,0,8,1397,2737,1910,2, C1 ,3000000.0,12/19/2012
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,744,40,C4, 205 8 AVENUE                              ,            ,10011,10,1,11,2500,10800,1900,2, C4 ,15900000.0,5/1/2013
CHELSEA                  ,07  RENTALS - WALKUP APARTMENTS             ,2,753,30,C5, 311 WEST 29TH   STREET                    ,            ,10001,19,0,19,2197,6555,1900,2, C5 ,4250000.0,9/27/2012
